uid,latitude,longitude,date,split
abjj,42.056766,-78.879216,24/09/2019,train
abjq,34.9454,-120.417,26/09/2017,test
abjr,36.7962,-121.782,19/01/2016,test
abjx,38.1156,-121.494,20/08/2013,train
abka,41.72506,-85.01198,02/08/2017,train
abkx,36.3708,-119.429,22/06/2016,test
abmo,35.89527007,-79.03999949,10/06/2015,train
aboc,44.761667,-82.783333,03/04/2018,train
abqi,35.69543599,-79.18319656,06/04/2016,train
abqw,37.8717,-121.526,17/05/2016,train
abrn,41.890646,-78.925275,05/10/2017,train
absk,35.433,-80.1,21/06/2016,test
absl,42.086392,-78.874325,16/07/2013,train
abso,35.65003134,-79.26753078,19/07/2016,train
absx,36.9128,-121.744,03/12/2014,test
abua,44.736667,-86.721667,05/08/2016,train
abui,37.1366,-120.762,12/05/2020,train
abvn,41.693325,-80.07708,25/09/2015,test
abvy,44.87109,-103.0033,12/06/2017,train
abwl,44,-82.35,31/03/2017,train
abxl,38.1602,-121.206,19/03/2019,train
abzb,36.313,-79.11482949,26/02/2020,test
abzk,39.21155,-97.00559,28/08/2017,train
abzw,35.86405812,-78.79019482,22/04/2015,train
acbt,39.3092,-121.595,22/08/2019,train
accd,35.86688428,-78.81281395,24/05/2016,train
acck,35.69378588,-79.18626146,13/12/2016,train
acdj,37.3906,-120.958,14/04/2015,train
acex,37.0062,-120.6,14/07/2021,test
acgm,36.13,-79.06766955,24/06/2020,train
acgx,35.6983636,-79.17775883,22/07/2014,train
acix,37.3978,-120.96,11/08/2020,train
acje,39.6242,-122.197,20/06/2018,test
ackq,35.976,-78.75042492,16/11/2015,train
ackx,47.62155,-89.463167,25/08/2017,test
aclb,38.48312168,-75.12969166,10/11/2020,train
acld,35.642526,-79.28147114,15/07/2020,train
aclj,44.868638,-93.524033,23/09/2013,train
acmt,37.2583,-120.475,12/02/2013,train
acoa,35.68433767,-79.2038105,22/06/2015,train
acoz,35.63158736,-79.30178847,06/05/2015,train
acpf,35.91362456,-79.18689955,23/06/2014,train
acpk,37.82493334,-99.91665915,16/08/2021,train
acqg,35.794,-79.01991641,20/09/2016,train
acqj,35.8594928,-78.75365623,23/04/2013,train
acqu,35.4265,-118.832,21/07/2020,test
acta,41.005131,-81.021802,02/08/2016,test
actk,41.89424,-78.93875,16/04/2019,train
actm,38.72020003,-75.08008333,21/08/2017,train
actx,36.8739,-121.745,29/04/2020,test
acuf,41.964856,-110.654119,22/08/2018,train
acwc,39.61525,-84.96614444,25/08/2020,test
acwk,35.90862444,-79.14688109,28/04/2021,train
acwm,34.942,-120.557,28/05/2013,test
acwx,37.1366,-120.762,13/01/2015,train
acwy,47.62155,-89.463167,13/05/2018,test
acxn,37.2343,-121.87,06/02/2015,train
acyg,35.79,-79.03232432,11/03/2020,train
acyi,44.878889,-93.490833,18/06/2013,train
acyk,35.61,-78.99699829,18/05/2021,train
acyl,35.72484521,-79.12857211,06/08/2018,train
aczv,35.64486809,-79.27712096,02/07/2019,train
aczx,35.62476,-78.71115215,22/06/2016,train
adau,44.14,-87.233333,05/08/2016,train
addj,41.726667,-83.15,07/04/2018,test
adef,35.742,-79.2289065,24/05/2016,train
adfl,35.86219473,-78.77528111,19/05/2014,train
adgs,35.3207,-120.806,27/02/2014,test
adhj,35.69077842,-79.19184749,19/02/2019,train
adjx,41.0491,-121.762,23/08/2021,train
admd,46.993333,-85.1645,22/08/2016,test
admk,45.48802,-96.44255,21/08/2017,test
admo,35.69149702,-79.19051278,09/08/2018,train
adow,35.66727765,-79.23549762,13/12/2016,train
adqc,35.67007219,-79.23030706,06/08/2015,train
adra,41.299298,-80.758329,05/07/2018,test
adsv,35.88523877,-78.95971401,21/02/2018,train
adtv,35.79,-79.02184434,21/03/2017,train
adtx,35.89309611,-79.02260016,12/10/2021,train
aduy,35.8674433,-78.81728806,19/07/2016,train
advr,47.85615,-88.041917,15/04/2013,test
adwf,35.70610848,-79.16337357,08/06/2016,train
adwg,40.72010333,-85.1058325,24/05/2021,train
adwl,35.72521782,-79.12788004,26/08/2013,train
adxk,41.33056393,-85.38360833,08/06/2020,train
adxl,37.3169,-120.742,11/04/2017,train
adxo,41.841242,-78.994719,02/09/2020,train
adzg,35.69841683,-79.17765997,22/07/2014,train
aeaj,35.65,-78.68778733,11/08/2021,train
aeap,35.794,-79.01032624,05/08/2014,train
aebg,35.63754905,-79.29071528,23/07/2015,train
aecj,36.7962,-121.782,26/08/2015,test
aeco,38.2996,-121.383,19/03/2019,train
aecy,35.659932,-79.24914138,24/09/2020,train
aedy,37.6756,-121.264,18/10/2016,train
aeea,34.73,-77.44,20/07/2021,test
aefb,36.03,-78.68256753,01/06/2020,train
aeib,35.70435191,-79.16663621,13/08/2014,train
aeid,39.16522,-96.91105,26/09/2016,train
aejc,42.021242,-78.95833,04/10/2017,train
aekm,35.65436,-79.01216056,24/08/2016,train
aelv,35.79,-79.03326356,10/06/2020,train
aemv,39.3092,-121.595,18/11/2014,train
aepe,36.35,-79.11398911,20/11/2019,test
aepl,35.6465182,-79.27405606,09/08/2018,train
aeqh,37.6756,-121.264,14/11/2016,train
aetj,35.91318977,-79.18341968,10/06/2014,train
aeud,34.73,-76.73,16/01/2019,test
aeuj,36.00756,-78.97114786,12/08/2013,train
aeus,37.9893,-121.463,17/03/2020,train
aexi,35.71124511,-79.15383283,15/09/2016,train
aexm,34.4395,-119.854,22/05/2019,test
aeyg,34.9454,-120.417,20/04/2016,test
aeyz,35.6296711,-79.30534771,21/06/2016,train
aezm,35.5621,-119.151,01/02/2017,test
afas,35.63565941,-79.29422509,20/09/2017,train
afbi,38.84259,-85.82827,10/08/2017,train
afbl,35.67826952,-79.21508142,09/08/2018,train
afcm,41.99847,-78.95185,19/08/2019,train
afef,42.516667,-79.893333,08/04/2018,test
afeh,35.51,-79.04122242,02/08/2021,train
afek,41.992305,-78.929219,24/09/2019,train
afel,37.8189,-121.358,16/07/2019,train
affc,35.98,-78.79640887,25/10/2018,train
afgc,37.3978,-120.96,03/12/2014,train
afgk,47.62155,-89.463167,17/04/2016,test
afgy,35.70629478,-79.16302753,25/05/2016,train
afhn,35.67137631,-79.2278848,22/04/2015,train
afhu,35.98,-78.82921903,17/11/2020,train
afhv,35.87017629,-78.83916151,21/02/2018,train
afhy,34.9454,-120.417,21/05/2019,test
afip,35.68758466,-79.19777956,28/04/2021,train
afiq,35.70038632,-79.17400186,30/07/2013,train
afix,38.9695,-94.7582,11/10/2021,test
afjc,35.7228225,-79.13232909,16/05/2013,train
afje,41.80086,-73.24929,25/08/2020,train
afjf,36.055,-78.763,14/01/2013,train
afjv,34.446,-119.876,25/09/2018,test
afke,41.3326,-75.88683,19/08/2021,train
aflh,43.596667,-78.801667,25/04/2014,train
afnd,35.976,-78.74893355,22/09/2015,train
afos,35.8639339,-78.78920057,24/03/2015,train
afpq,36.7254,-121.73,18/01/2019,test
afpw,36.6291,-121.688,25/04/2018,test
afsc,36.01,-78.96294531,22/08/2018,train
afsi,35.86256741,-78.77826385,23/06/2014,train
afuh,39.20984,-96.96101,03/09/2013,train
afum,35.70565603,-79.16421395,10/08/2016,train
afvi,35.66216763,-79.24498893,04/09/2019,train
afvu,36.055,-78.763,22/04/2014,train
afwi,38.2104,-121.262,28/02/2017,train
afyc,38.1688,-121.47,11/08/2021,train
afzm,35.69559568,-79.18289996,07/12/2015,train
agbg,36.9425,-121.445,28/09/2021,test
agbl,36.17,-79.05555825,23/06/2020,train
agca,36.31,-79.11537326,01/06/2020,test
agcl,40.48477,-78.27506,08/11/2021,test
agcm,36.02,-76.31,19/07/2017,test
agdh,37.6667,-120.898,07/11/2018,train
agdv,35.1117,-118.615,15/09/2015,test
agem,35.63911932,-79.28779868,25/11/2014,train
aggt,42.416667,-79.8,12/08/2016,test
aggu,43.516667,-79.08,08/04/2016,train
aggy,41.33056393,-85.38360833,17/08/2021,train
aghh,41.95,-82.686667,04/04/2016,test
aghm,35.6677301,-79.23465724,20/09/2016,train
agim,35.742,-79.20355319,20/05/2015,train
agis,47.47517,-88.00176,18/07/2017,test
agix,35.68225,-79.07802,08/10/2014,train
agjr,35.6992685,-79.17607808,14/04/2014,train
agku,47.370167,-90.851833,18/04/2016,test
aglm,38.785,-121.653,19/08/2014,train
agmv,36.1856,-104.8038,03/05/2016,train
agpk,35.72295557,-79.13208192,27/08/2018,train
agqj,42.733333,-87.416667,03/04/2019,train
agqw,36.045,-79.09164499,27/06/2013,train
agrt,36.11,-78.90602465,27/08/2018,train
agsx,36.03,-78.72,20/03/2019,train
agto,35.61133,-78.97810759,22/07/2016,train
agtu,35.68836,-78.6997183,31/08/2016,train
aguh,38.51613412,-95.70697032,18/07/2016,test
agvj,41.702596,-85.022696,06/07/2020,train
agwh,35.65913356,-79.25062439,24/05/2021,train
agwi,34.53937,-92.27375,07/06/2017,train
agxc,35.98,-78.8326989,20/04/2021,train
agxe,36.028,-78.716,27/02/2013,train
agxq,40.954436,-81.12694,07/10/2020,test
ahcm,42.027378,-78.967089,25/10/2019,train
ahdy,33.4742,-117.138,18/05/2016,test
ahek,41.493,-71.979,01/08/2019,test
aheu,35.71499778,-79.14686265,27/07/2016,train
ahez,35.86700851,-78.8138082,07/06/2016,train
ahfv,38.76050002,-75.20283333,11/11/2020,train
ahgg,35.48,-76.82,03/05/2018,test
ahgi,38.99841,-95.747367,02/07/2018,test
ahgo,36.35,-79.11384081,20/11/2019,test
ahgu,41.707665,-73.382964,17/08/2017,train
ahhm,39.264159,-79.951664,25/07/2017,test
ahhw,37.2583,-120.475,15/08/2017,train
ahjj,35.88377911,-78.9480316,17/05/2017,train
ahkg,35.8968229,-79.05242758,12/10/2015,train
ahnr,35.6630193,-79.24340704,16/05/2019,train
ahpj,35.90567405,-79.12326771,14/11/2019,train
ahpn,37.8817,-121.249,17/07/2018,train
ahrn,35.68332631,-79.20568898,12/10/2015,train
ahse,43.056389,-86.646389,18/04/2014,train
ahsh,35.63108168,-79.30272772,07/07/2015,train
ahsi,39.21155,-97.00559,01/08/2016,train
ahsm,36.17911,-79.05363033,30/05/2013,train
ahst,35.48,-76.82,29/11/2018,test
ahta,36.17,-79.05595372,25/08/2020,train
ahtt,39.1853,-121.704,16/07/2014,train
ahuv,40.72010333,-85.1058325,21/06/2021,train
ahvc,35.62908558,-79.30643526,27/01/2015,train
ahvi,35.6809576,-79.2100886,14/02/2017,train
ahwi,37.4125,-120.759,02/04/2013,train
ahwu,34.4168,-119.544,28/01/2021,test
ahwv,35.64607,-79.02657715,13/07/2016,train
ahxa,41.497974,-80.458755,24/08/2016,test
ahya,33.2549,-117.295,09/02/2013,test
ahys,35.976,-78.72010038,12/11/2013,train
ahyx,36.0397,-106.8478,22/09/2014,train
aiap,35.67568789,-79.21987651,09/01/2020,train
aiby,38.78199034,-85.69828611,24/08/2021,train
aicl,35.65120238,-79.26535569,27/01/2016,train
aidb,35.64477,-80.254,08/06/2016,test
aids,32.8397,-117.024,08/05/2014,test
aidy,37.2953,-120.85,08/08/2017,train
aiga,45.136667,-82.983333,29/03/2016,train
aigc,35.68327308,-79.20578785,12/11/2015,train
aihm,36.9767,-121.51,23/04/2018,test
aihx,35.86958621,-78.83443883,20/09/2017,train
aiii,40.32301,-79.47356,25/08/2021,test
aiiw,38.70408332,-75.07568333,24/07/2019,train
aiix,35.86477243,-78.79591174,07/07/2015,train
aijb,35.87853053,-78.90602465,06/05/2015,train
aijp,43.133333,-87,27/03/2017,train
aika,37.6003,-121.224,13/08/2019,train
aimy,34.4384,-119.906,22/04/2020,test
ainj,35.70876995,-79.15843018,15/06/2021,train
aipr,41.309434,-80.461686,05/08/2015,test
aipy,38.3068,-121.693,04/12/2019,train
aiqi,34.941,-79.10232271,16/08/2016,test
aiqq,35.85853004,-78.74595081,09/08/2018,train
aisa,37.2583,-120.475,12/04/2016,train
aivu,38.31806,-96.99139,28/08/2017,train
aiwo,33.0426,-117.076,08/01/2015,test
aiwq,41.890646,-78.925275,15/06/2017,train
aiwt,35.69921527,-79.17617695,05/05/2014,train
aixa,37.7705,-121.292,05/02/2019,train
aixq,35.12,-78.72706011,12/08/2019,test
aiyp,35.794,-79.004,17/10/2013,train
aize,38.259,-121.668,05/02/2019,train
ajbb,36.045,-79.09169443,27/06/2013,train
ajea,35.88259895,-78.93858625,18/10/2016,train
ajev,48.2295,-88.5455,25/08/2016,test
ajfd,35.87176018,-78.85183816,15/01/2019,train
ajfp,43.88,-76.9994,15/08/2018,test
ajft,34.4384,-119.906,11/01/2018,test
ajfv,38.28046862,-94.7337782,17/09/2018,test
ajfx,35.86017604,-78.75912459,27/06/2013,train
ajgg,34.40442,-111.0025,26/09/2017,train
ajim,35.67,-79.04888467,14/05/2020,train
ajjj,37.2141,-120.561,08/04/2014,train
ajkf,39.88423,-76.37506,30/08/2017,train
ajkz,35.95,-76.61,28/07/2020,test
ajlw,35.8732509,-78.86376913,17/10/2019,train
ajmc,39.07775,-96.9059,08/09/2015,train
ajme,37.61429993,-97.62981051,08/08/2016,train
ajnn,35.67220137,-79.22635235,25/08/2014,train
ajoh,38.0739,-121.212,28/02/2017,train
ajqf,34.9552,-120.487,04/10/2021,test
ajqv,41.56467,-79.9455,22/08/2019,test
ajru,39.474744,-86.898353,14/06/2021,train
ajrw,36.12,-78.91199013,21/05/2018,train
ajsm,35.67385148,-79.22328745,10/12/2020,train
ajsq,35.976,-78.72233743,14/01/2014,train
ajuc,32.04667,-96.75054,13/09/2017,train
ajuj,42.733333,-87,28/03/2013,train
ajvc,34.9552,-120.487,29/01/2021,test
ajvk,38.0601,-121.499,20/08/2013,train
ajvu,35.794,-79.004,18/09/2013,train
ajwh,35.70195659,-79.17108526,02/07/2019,train
ajxf,39.82640667,-95.52873464,30/10/2017,test
ajzm,48.72519,-116.1086,03/08/2017,test
akao,35.4265,-118.832,15/10/2019,test
akba,38.2361,-121.419,23/09/2015,train
akbi,35.91322082,-79.18366825,10/06/2014,train
akbk,38.51613412,-95.70697032,02/10/2017,test
akbz,42.038186,-78.908886,14/08/2014,train
akcy,41.868925,-73.0977,27/09/2018,train
akgs,47.606167,-86.818833,25/08/2019,test
akgu,35.2,-79.10518988,13/08/2018,train
akhe,39.309992,-80.034025,26/07/2017,test
akjw,41.702596,-85.022696,17/07/2017,train
akka,36.33,-79.11591703,24/06/2020,test
aklk,35.79,-79.02841904,19/02/2019,train
aknj,35.33794,-79.04547374,21/07/2015,train
akpm,35.85846793,-78.74545369,12/11/2015,train
akqd,44.736667,-86.721667,28/03/2017,train
akqj,36.17,-79.05516278,27/05/2020,train
akqp,36.532781,-105.236671,09/04/2015,train
akrh,35.86160465,-78.77055843,05/12/2013,train
akst,36.346,-79.1128027,13/06/2019,test
aksu,37.9495,-121.182,21/05/2019,train
akvu,35.68556194,-79.20153654,27/01/2015,train
akwt,39.74693889,-87.07598056,19/08/2019,train
akww,37.5582,-121.164,10/03/2015,train
akxc,35.88868606,-78.98730438,14/09/2019,train
akxm,35.036,-79.11888307,16/08/2021,test
akzy,37.6003,-121.224,08/05/2018,train
albx,37.6173,-122.074,13/07/2017,train
aldv,35.74,-79.02,10/04/2019,train
aler,42.081667,-81.011667,10/08/2019,test
alez,42.416667,-79.8,11/08/2013,test
alfc,40.968788,-81.119867,27/06/2017,test
alfh,45.75,-83.916667,29/03/2013,train
algg,39.74826,-78.67698,14/09/2020,test
algi,35.02,-83.79,22/08/2019,test
algu,41.285686,-80.361664,20/07/2016,test
alhz,35.48,-76.82,07/03/2017,test
alif,38.3677,-121.521,18/10/2016,train
aliv,38.37080661,-98.79520846,16/10/2017,train
aljj,40.3155,-96.9964,20/09/2017,train
aljv,39.21155,-97.00559,11/10/2021,train
aljz,35.67228121,-79.22620405,25/08/2014,train
allm,34.85,-78.83,27/06/2019,test
almt,41.843527,-78.957332,20/08/2013,train
alpb,38.36472,-97.10194,17/07/2017,train
alpl,35.64404303,-79.27865341,17/10/2019,train
alqd,38.70782502,-75.08086667,01/08/2018,train
alqp,37.4419,-121.003,12/06/2018,train
alqs,39.21067,-96.97298,15/08/2016,train
alrk,33.513,-117.269,21/01/2016,test
alsf,35.68915492,-79.19486296,11/03/2020,train
altb,36.15,-79.1069695,23/09/2020,train
alvh,36.7025,-121.709,11/12/2013,test
alvv,35.794,-79.01630774,24/09/2015,train
alwg,38.2104,-121.262,16/05/2017,train
alwh,36.04,-76.61,30/09/2021,test
alwn,35.72242328,-79.13307059,19/09/2013,train
alwp,44.87302,-93.556776,19/08/2013,train
alxm,37.6106,-121.229,12/08/2014,train
alxr,35.72378063,-79.13054947,19/06/2013,train
alxv,35.976,-78.70966078,20/03/2013,train
alyc,35.84,-79.06114428,09/09/2020,train
alyf,38.307,-121.794,19/05/2015,train
amai,35.68484334,-79.20287125,20/05/2015,train
amak,38.307,-121.794,16/07/2019,train
amap,35.68870247,-79.19570334,10/06/2020,train
amat,36.9893,-121.533,23/04/2018,test
ambi,42.516667,-79.893333,15/08/2014,test
amcm,35.63366331,-79.29793263,09/09/2015,train
amcu,35.6771517,-79.21715765,16/05/2019,train
amfl,35.86030027,-78.76011884,10/07/2013,train
amgv,42.027378,-78.967089,27/10/2014,train
amjb,48.17831,-91.98468,24/08/2017,test
amjd,35.63169382,-79.30159074,24/03/2015,train
amjh,41.977778,-81.756944,11/08/2015,test
amjn,41.995,-82.45,28/04/2019,test
amks,38.9725,-94.67293,25/10/2021,test
amkz,35.68926138,-79.19466523,09/01/2020,train
amma,39.1766,-122.189,27/12/2017,train
ammk,36.17,-79.05214731,28/06/2018,train
ammz,33.4779,-117.142,17/05/2017,test
amol,35.742,-79.23387774,19/07/2016,train
amos,36.7085,-121.749,29/04/2021,test
amow,35.64607,-79.02309728,08/06/2016,train
amqv,43.89,-82.056667,22/04/2014,train
amrx,38.2104,-121.262,18/02/2016,train
amsp,44.868638,-93.524033,22/07/2013,train
amtf,36.00756,-78.96642518,11/06/2013,train
amtr,34.41,-78.3,20/05/2019,test
amuf,35.6673575,-79.23534932,21/11/2016,train
amuw,38.06284,-100.05499,10/06/2013,train
amwf,47.62155,-89.463167,28/08/2015,test
amwp,35.72186437,-79.13410871,08/07/2014,train
amww,35.68202219,-79.20811124,19/07/2016,train
amwx,35.64607,-79.01961742,25/05/2016,train
amxb,39.263048,-80.00583,25/07/2017,test
amyy,35.67129647,-79.2280331,22/04/2015,train
amzo,48.0825,-89.252383,10/05/2015,test
anbo,35.742,-79.20579025,10/06/2015,train
andt,41.840964,-79.009164,29/09/2015,train
anei,47.35085,-121.9925,07/09/2017,train
anfv,35.74,-79.02,15/11/2017,train
angt,35.7197352,-79.13806342,22/07/2013,train
anjy,42.253333,-81.106667,12/08/2016,test
anke,37.4341,-122.218,07/07/2015,train
anlm,35.64721018,-79.27277078,22/03/2018,train
anlo,43.58,-77.2,15/08/2018,test
anlp,36.1606,-79.0982197,27/07/2015,train
anmf,34.73475,-77.44025,14/09/2015,test
anmy,42.383333,-87,04/04/2019,train
annu,35.61,-78.95548846,28/08/2018,train
anra,43.89,-82.056667,09/08/2015,train
anrk,35.72229021,-79.13331776,21/05/2018,train
anrt,35.794,-79.01126548,08/10/2014,train
antr,36.03,-78.69400138,20/04/2021,train
anuc,37.5582,-121.164,08/08/2017,train
anuf,39.03917524,-95.69083603,30/09/2019,test
anuh,35.67294658,-79.2249682,05/08/2021,train
anvc,36.045,-79.09248537,25/09/2013,train
anvh,37.0062,-120.6,19/03/2021,test
anvn,34.9354,-120.356,09/01/2017,test
anvp,37.2616,-120.906,14/07/2020,train
anwq,35.86983466,-78.83642733,15/11/2017,train
anwv,36.3,-80.04,30/09/2019,test
anxo,36.54,-79.0656922,19/09/2019,test
anxr,45.41361,-84.80677,24/07/2017,train
anyq,35.65253312,-79.262884,07/07/2015,train
anzf,36.177,-79.05412467,31/07/2013,train
aoab,47.606167,-86.818833,17/04/2017,test
aobs,37.9792,-121.57,16/12/2016,train
aobu,37.1145,-120.89,10/05/2016,train
aoce,36.16894,-79.07112993,05/09/2013,train
aoco,35.67467653,-79.221755,15/07/2020,train
aocw,39.07775,-96.9059,08/08/2016,train
aofk,35.87809574,-78.90254478,24/03/2015,train
aogc,35.91505317,-79.1983334,27/01/2015,train
aogk,41.70051,-80.10148,29/07/2020,test
aogm,40.11461,-75.8596,15/08/2019,train
aogy,35.0228,-120.586,17/09/2013,test
aogz,47.370167,-90.851833,04/05/2019,test
aohi,35.64702388,-79.27311681,11/04/2018,train
aohj,40.38382,-76.0402,05/08/2019,train
aohs,36.055,-78.763,10/12/2014,train
aoit,35.67097709,-79.22862631,20/05/2015,train
aojn,35.72013442,-79.13732191,22/05/2013,train
aojo,39.21067,-96.97298,03/08/2015,train
aojs,35.71861738,-79.14013964,01/06/2019,train
aoko,36.03,-78.68753877,16/09/2020,train
aolc,35.90905923,-79.15036096,12/07/2021,train
aold,36.14,-76.75,12/09/2019,test
aolg,41.69417,-80.08583,31/08/2020,test
aoln,35.65040394,-79.26683871,24/05/2016,train
aomf,38.307,-121.794,10/02/2014,train
aony,35.87207074,-78.85432378,16/05/2019,train
aoom,29.84254,-96.76571,20/09/2017,train
aoon,35.89570486,-79.04347936,07/07/2015,train
aopf,35.68825002,-79.19654371,24/09/2020,train
aopl,35.66517509,-79.2394029,06/12/2017,train
aoqa,37.65556,-98.26099,14/06/2017,test
aoqj,38.4571,-122.631,26/03/2014,test
aoqv,39.79219,-99.97105,13/06/2016,train
aosf,34.9354,-120.356,28/02/2014,test
aosm,35.88694689,-78.97338491,06/12/2018,train
aosw,42.253333,-81.106667,22/04/2019,test
aoth,35.64790216,-79.2714855,18/10/2017,train
aotx,35.91300343,-79.18192831,14/04/2014,train
aowb,35.69288098,-79.18794222,20/07/2017,train
aoxm,41.512172,-73.476168,17/08/2017,train
aozh,35.868375,-78.82474492,24/01/2017,train
aozi,35.65436,-79.01340337,31/08/2016,train
aozp,35.86694639,-78.81331107,07/06/2016,train
aozr,38.48312168,-75.12969166,13/10/2020,train
apak,35.9138109,-79.18839092,16/07/2014,train
apbg,36.39,-78.85705796,28/08/2019,test
apbq,35.63555295,-79.29442282,18/10/2017,train
apcu,37.2639,-120.906,17/08/2020,train
apdc,38.1602,-121.206,17/03/2015,train
apdg,41.1883,-123.7055,22/08/2018,train
apec,37.3294,-122.086,03/06/2019,train
aped,36.8754,-121.561,28/04/2020,test
apej,35.721199,-79.13534455,25/06/2018,train
apiz,35.71896337,-79.139497,16/07/2018,train
aplj,35.64607,-79.02284872,08/06/2016,train
apms,40.11372,-79.52797,30/08/2021,test
apnm,35.71741972,-79.14236417,01/06/2019,train
apnz,39.80482,-99.93915,22/07/2019,train
apob,39.58638333,-84.99486667,19/05/2020,test
apoh,35.66605338,-79.23777158,20/07/2017,train
apoq,38.2996,-121.383,18/06/2019,train
apou,37.3205,-122.061,09/07/2013,train
apph,35.98,-78.79541462,16/08/2018,train
apqc,35.98,-78.79143763,27/06/2018,train
apre,35.443,-78.87222023,12/08/2014,train
aprj,35.6487006,-79.27000248,21/03/2017,train
aprx,35.0228,-120.586,27/01/2021,test
apry,38.814,-86.08063972,23/08/2021,train
apsd,35.85809525,-78.74247094,15/07/2014,train
apsf,39.16522,-96.91105,05/07/2017,train
apsn,35.67608711,-79.219135,17/10/2019,train
apsz,37.2639,-120.906,20/05/2021,train
aptf,35.0164,-120.586,22/09/2020,test
apuh,35.65689793,-79.25477684,30/07/2013,train
apuu,37.82516,-99.919103,25/10/2021,train
apux,37.9718,-121.374,12/02/2020,train
apuy,35.51,-79.09594574,28/09/2017,train
apva,35.976,-78.72482305,27/03/2014,train
apwb,35.8888724,-78.98879575,17/10/2019,train
apwn,35.794,-79.01047454,05/08/2014,train
apwp,34.73,-76.73,19/09/2019,test
apwq,41.697709,-73.28029,31/08/2017,train
apya,35.4417,-119.549,27/08/2014,test
apyv,37.2764,-120.954,11/06/2013,train
apzy,35.64202032,-79.28241039,22/10/2020,train
aqae,35.65814882,-79.25245345,02/12/2021,train
aqaf,39.16522,-96.91105,02/06/2014,train
aqah,39.57612,-105.0421,30/07/2017,test
aqbh,37.04702,-97.04936,11/09/2017,train
aqdc,35.98,-78.80485997,17/04/2019,train
aqdr,40.11487,-75.85933,16/08/2021,train
aqee,42.83409996,-72.47257647,17/08/2017,train
aqef,35.64172756,-79.28295416,17/03/2021,train
aqfl,35.68473689,-79.20306899,10/06/2015,train
aqgh,35.70735937,-79.16105018,24/08/2016,train
aqhq,35.794,-79.02060849,13/12/2016,train
aqhw,35.57,-78.93908338,01/05/2018,train
aqii,36.7254,-121.73,29/09/2020,test
aqis,35.88126352,-78.92789809,09/05/2016,train
aqjj,41.9553,-73.4448,04/11/2019,train
aqju,34.2127,-78.91845274,12/08/2013,test
aqjx,35.68225,-79.07802,27/01/2016,train
aqkm,35.70845057,-79.15902339,11/08/2021,train
aqkr,40.57635,-79.02029,15/11/2017,test
aqky,40.0289,-75.84969,23/08/2018,train
aqlc,35.84,-79.0600073,04/06/2020,train
aqmh,36.9634,-121.491,26/09/2018,test
aqmm,35.79,-79.03005036,04/09/2019,train
aqnu,35.6530388,-79.26194475,10/06/2015,train
aqny,35.68596116,-79.20079503,08/10/2014,train
aqoo,35.79,-79.03262092,18/05/2020,train
aqov,36.03,-78.69201289,09/12/2020,train
